updateTime,2016-03-08
1단계,2단계,3단계,격자 X,격자 Y,경도(초/100),위도(초/100)
서울특별시,성북구,정릉제2동,60,127,127.01324166666667,37.60166666666667
서울특별시,성북구,정릉제3동,60,128,127.00628888888889,37.60616666666667
서울특별시,성북구,정릉제4동,60,128,127.00820833333333,37.61078611111111
서울특별시,성북구,길음제1동,61,127,127.02416666666666,37.60178333333334
서울특별시,성북구,길음제2동,61,128,127.0294,37.60385
서울특별시,성북구,종암동,61,127,127.03355277777777,37.59733055555556
서울특별시,성북구,월곡제1동,61,128,127.03614166666667,37.60420277777778
서울특별시,성북구,월곡제2동,61,127,127.04168888888888,37.599941666666666
서울특별시,성북구,장위제1동,61,128,127.04585555555555,37.61119166666667
서울특별시,성북구,장위제2동,61,128,127.05670833333333,37.60966388888889
서울특별시,성북구,장위제3동,61,128,127.05872222222222,37.613772222222224
서울특별시,성북구,석관동,61,128,127.06351944444444,37.61016111111111
서울특별시,강북구,,61,128,127.02771944444444,37.63695555555555
서울특별시,강북구,삼양동,61,128,127.0205111111111,37.62448333333333
서울특별시,강북구,미아동,61,128,127.02901944444444,37.62413611111111
서울특별시,강북구,송중동,61,128,127.03583333333333,37.61336111111111
서울특별시,강북구,송천동,61,128,127.02595555555556,37.61551666666667
서울특별시,강북구,삼각산동,61,128,127.01985277777777,37.61443055555556
서울특별시,강북구,번제1동,61,128,127.03101944444444,37.63515833333333
서울특별시,강북구,번제2동,61,128,127.04094444444445,37.62938611111111
서울특별시,강북구,번제3동,61,128,127.04868888888889,37.62309444444445
서울특별시,강북구,수유제1동,60,128,127.01929722222222,37.63073333333333
서울특별시,강북구,수유제2동,61,128,127.02204166666667,37.64188055555555
서울특별시,강북구,수유제3동,61,128,127.02531944444445,37.63597222222222
서울특별시,강북구,우이동,60,128,127.01406666666666,37.64519444444444
서울특별시,강북구,인수동,60,128,127.01276666666666,37.638733333333334
서울특별시,도봉구,,61,129,127.04952222222222,37.66583333333333
서울특별시,도봉구,창제1동,61,128,127.04599722222223,37.64564722222222
서울특별시,도봉구,창제2동,61,128,127.03776666666667,37.638727777777774
서울특별시,도봉구,창제3동,61,128,127.04500833333333,37.63526944444445
서울특별시,도봉구,창제4동,61,129,127.05366666666666,37.64939722222222
서울특별시,도봉구,창제5동,61,129,127.04129722222223,37.64921388888889
서울특별시,도봉구,도봉제1동,61,129,127.04551111111111,37.67581944444444
서울특별시,도봉구,도봉제2동,61,129,127.04870833333334,37.666999999999994
서울특별시,도봉구,쌍문제1동,61,128,127.02817777777777,37.645247222222224
서울특별시,도봉구,쌍문제2동,61,129,127.04091111111111,37.65508055555556
서울특별시,도봉구,쌍문제3동,61,128,127.03008888888888,37.64619444444445
서울특별시,도봉구,쌍문제4동,61,129,127.03054444444444,37.653625
서울특별시,도봉구,방학제1동,61,129,127.04276666666667,37.661433333333335
서울특별시,도봉구,방학제2동,61,129,127.03722222222223,37.66543611111111
서울특별시,도봉구,방학제3동,61,129,127.03007777777778,37.65622777777778
서울특별시,노원구,,61,129,127.05838888888889,37.65146111111111
서울특별시,노원구,월계1동,61,128,127.06508888888888,37.61731944444445
서울특별시,노원구,월계2동,61,128,127.05299722222222,37.62976111111111
